symbolName,carouselNum,panText,panSubText,slide3_title,slide3_hw,slide4_para,slide5_title,voiceover_script,boostWords
Asase Ye Duru,17,Guess?,Akan Symbols,What does this mean?,mean,"Asase Ye Duru means ""the earth has weight."" The earth feeds, holds, and receives all things. It represents providence and the divinity of Mother Earth.",Asase Ye Duru,I am Asase Ye Duru. Everything you grow comes from me. Everything you bury, I keep. Give me your respect.,"earth,providence,divinity,groundedness"
Akofena,18,Guess?,Akan Symbols,What does this mean?,mean,"Akofena means ""sword of war."" These ceremonial crossed swords appear on Ghana's coat of arms and represent courage, legitimate authority, and heroic deeds.",Akofena,I am Akofena. I was not drawn in anger. I was drawn in service. Courage means something when it costs you.,"courage,valor,authority,heroism"
Akoko Nan,19,Guess?,Akan Symbols,What does this mean?,mean,"Akoko Nan means ""the foot of a hen."" The hen treads on her chicks but does not kill them. This is the symbol of discipline paired with deep care.",Akoko Nan,I am Akoko Nan. I correct because I love. Not all pressure is cruelty. Sometimes it is a mother's foot keeping you safe.,"nurturing,discipline,care,parenting"
Mpatapo,20,Guess?,Akan Symbols,What does this mean?,mean,"Mpatapo means ""pacification knot."" It is the knot that cannot be undone — a symbol of reconciliation, forgiveness, and the peace that comes after conflict.",Mpatapo,I am Mpatapo. The quarrel is over. Now comes the harder work — to forgive and stay.,"reconciliation,peace,forgiveness,unity"
Fihankra,21,Guess?,Akan Symbols,What does this mean?,mean,"Fihankra means ""enclosed compound house."" The complete home — safe, whole, and sheltered from the outside. It represents brotherhood, safety, and solidarity.",Fihankra,I am Fihankra. The walls are not to keep the world out. They are to keep the family together.,"safety,brotherhood,solidarity,completeness"
Akoma Ntoaso,22,Guess?,Akan Symbols,What does this mean?,mean,"Akoma Ntoaso means ""joining of hearts."" It is the symbol of agreement, togetherness, and unity — two hearts that have chosen each other.",Akoma Ntoaso,I am Akoma Ntoaso. Two people said yes at the same time. That is the beginning of everything.,"agreement,unity,togetherness,commitment"
Bi Nka Bi,23,Guess?,Akan Symbols,What does this mean?,mean,"Bi Nka Bi means ""let no one bite the other."" It is a symbol of justice, peace, harmony, and the resolve to avoid conflict and strife.",Bi Nka Bi,I am Bi Nka Bi. We do not have to agree. We do have to stop drawing blood. Peace is a discipline.,"peace,justice,harmony,fairplay"
Nyame Dua,24,Guess?,Akan Symbols,What does this mean?,mean,"Nyame Dua means ""God's tree"" — the sacred altar stump. It represents the presence and protection of God in the home and in life.",Nyame Dua,I am Nyame Dua. God does not need a cathedral. He lives in the post planted in your yard. He is already here.,"God,protection,presence,sanctuary"
Nyame Biribi Wo Soro,25,Guess?,Akan Symbols,What does this mean?,mean,"Nyame Biribi Wo Soro means ""God is in the heavens."" It is a symbol of hope — the belief that something greater than your circumstance is watching over you.",Nyame Biribi Wo Soro,I am Nyame Biribi Wo Soro. You are not the ceiling of this situation. Look up. There is something beyond what you can see.,"hope,faith,God,perspective"
Nyame Nnwu Na Mawu,26,Guess?,Akan Symbols,What does this mean?,mean,"Nyame Nnwu Na Mawu means ""God never dies, therefore I cannot die."" It speaks to the eternal nature of the human spirit and God's omnipresence.",Nyame Nnwu Na Mawu,I am Nyame Nnwu Na Mawu. You are made of something that cannot end. The body is not the whole story.,"eternal,spirit,God,immortality"
Bese Saka,27,Guess?,Akan Symbols,What does this mean?,mean,"Bese Saka means ""sack of cola nuts."" Cola nuts were currency, a sign of wealth, and a symbol of hospitality. It represents affluence, abundance, and unity in plenty.",Bese Saka,I am Bese Saka. Wealth is not just what you hold. It is what you share and who shares with you.,"abundance,wealth,unity,affluence"
Nkonsonkonson,28,Guess?,Akan Symbols,What does this mean?,mean,"Nkonsonkonson means ""chain link."" Each link depends on the next. It is a symbol of human interdependence and the bonds of community.",Nkonsonkonson,I am Nkonsonkonson. Remove one link and the chain fails. You are someone's link. Do not pull away.,"unity,community,interdependence,connection"
Boa Me Na Me Mmoa Wo,29,Guess?,Akan Symbols,What does this mean?,mean,"Boa Me Na Me Mmoa Wo means ""help me and let me help you."" The left hand washes the right. No one rises without the hands of others.",Boa Me Na Me Mmoa Wo,I am Boa Me Na Me Mmoa Wo. I am not beneath you when I ask for help. I am making room for us both to rise.,"cooperation,interdependence,teamwork,reciprocity"
Osram Ne Nsoromma,30,Guess?,Akan Symbols,What does this mean?,mean,"Osram Ne Nsoromma means ""the moon and the star."" The moon and star are faithful companions in the night sky — a symbol of love, faithfulness, and harmony.",Osram Ne Nsoromma,I am Osram Ne Nsoromma. They never touch. They never leave each other. That is what faithfulness looks like.,"love,faithfulness,harmony,devotion"
Hwehwemudua,31,Guess?,Akan Symbols,What does this mean?,mean,"Hwehwemudua means ""measuring rod."" It is the rod of investigation and quality — a symbol of excellence, precision, and the relentless pursuit of what is truly good.",Hwehwemudua,I am Hwehwemudua. I measure everything. Not to judge — but because quality is not an accident. It is a standard.,"excellence,quality,precision,perfection"
Hye Wo Nhye,32,Guess?,Akan Symbols,What does this mean?,mean,"Hye Wo Nhye means ""that which cannot be burned."" It is a symbol of imperishability, permanence, and the toughness of what cannot be destroyed.",Hye Wo Nhye,I am Hye Wo Nhye. They lit the fire. I am still here. Some things do not bend to what tries to consume them.,"toughness,imperishability,permanence,endurance"
Pempamsie,33,Guess?,Akan Symbols,What does this mean?,mean,"Pempamsie means ""sew in readiness."" Do not wait for the moment — prepare for it. It represents readiness, steadfastness, and the discipline of preparation.",Pempamsie,I am Pempamsie. The moment will come. The question is whether you will be ready when it does.,"readiness,preparation,steadfastness,discipline"
Sesa Wo Suban,34,Guess?,Akan Symbols,What does this mean?,mean,"Sesa Wo Suban means ""change or transform your character."" It combines the morning star with the wheel — new beginnings meeting continuous movement. A symbol of life transformation.",Sesa Wo Suban,I am Sesa Wo Suban. The person you were is not the person you must remain. Turn. Begin.,"transformation,change,growth,renewal"
Wawa Aba,35,Guess?,Akan Symbols,What does this mean?,mean,"Wawa Aba means ""seed of the wawa tree."" The wawa seed is extraordinarily hard. It represents hardiness, toughness, and perseverance in the face of difficulty.",Wawa Aba,I am Wawa Aba. Small. Dense. Impossible to break. The hardest things come in the smallest casings.,"hardiness,toughness,perseverance,resilience"
Owuo Atwedee,36,Guess?,Akan Symbols,What does this mean?,mean,"Owuo Atwedee means ""the ladder of death."" All who live must climb it. It is a symbol of mortality and the shared fate that makes every human life precious.",Owuo Atwedee,I am Owuo Atwedee. Every rung leads the same direction. That is not a curse. It is why today matters.,"mortality,impermanence,legacy,life"
Okodee Mmowere,37,Guess?,Akan Symbols,What does this mean?,mean,"Okodee Mmowere means ""the talons of the eagle."" The eagle grips what it goes for and does not let go. It is a symbol of strength, bravery, and decisive power.",Okodee Mmowere,I am Okodee Mmowere. I do not circle forever. When I move, I mean it. Grip what matters and do not let go.,"strength,bravery,power,decisiveness"
Mate Masie,38,Guess?,Akan Symbols,What does this mean?,mean,"Mate Masie means ""what I hear, I keep."" Wisdom is not only what you know — it is what you hold carefully after you have heard it.",Mate Masie,I am Mate Masie. I heard you. I kept it. Not everything heard should be repeated. Some things are kept and carried.,"wisdom,prudence,knowledge,discretion"
Nkyemu,39,Guess?,Akan Symbols,What does this mean?,mean,"Nkyemu refers to the crossed divisions made on adinkra cloth before stamping. It represents precision, adroitness, and quality craftsmanship — the preparation that makes the work right.",Nkyemu,I am Nkyemu. Before the stamp, the grid. Before the art, the structure. Precision is not a cage. It is a foundation.,"precision,craftsmanship,skillfulness,preparation"
Nsaa,40,Guess?,Akan Symbols,What does this mean?,mean,"Nsaa is a type of hand-woven fabric known for exceptional quality. The proverb says: he who does not know authentic Nsaa will buy the fakes. It is a symbol of genuineness and excellence.",Nsaa,I am Nsaa. The imitation looks close. But those who know can feel the difference. Be the real thing.,"authenticity,excellence,quality,genuineness"
Epa,41,Guess?,Akan Symbols,What does this mean?,mean,"Epa means ""handcuffs."" It is a symbol of law, justice, and the binding weight of rules — a reminder that freedom has conditions and accountability is not optional.",Epa,I am Epa. The law holds everyone. That is not a threat. That is what makes fairness possible.,"law,justice,accountability,order"
Fofo,42,Guess?,Akan Symbols,What does this mean?,mean,"Fofo is a yellow-flowering plant used as a warning symbol. It represents jealousy and covetousness — a caution against the poison of wanting what belongs to another.",Fofo,I am Fofo. Yellow and bright but bitter inside. Jealousy wears beauty first. It poisons second.,"jealousy,warning,covetousness,caution"
Sepow,43,Guess?,Akan Symbols,What does this mean?,mean,"Sepow means ""executioner's knife."" It is the knife that carried out the law's final word. It represents justice — absolute, final, and without sentiment.",Sepow,I am Sepow. Justice is not always soft. Sometimes the knife is the kindest answer. It ends the thing cleanly.,"justice,finality,law,authority"
Dame Dame,44,Guess?,Akan Symbols,What does this mean?,mean,"Dame Dame is the name of a board game — a strategy game of moves and countermoves. It represents intelligence, ingenuity, and strategic thinking.",Dame Dame,I am Dame Dame. Every move has a consequence. Think ahead. The game rewards those who see further than the next turn.,"intelligence,strategy,ingenuity,foresight"
Ese Ne Tekrema,45,Guess?,Akan Symbols,What does this mean?,mean,"Ese Ne Tekrema means ""the teeth and the tongue."" They live together in the same mouth. They must cooperate — or one will wound the other. A symbol of friendship and interdependence.",Ese Ne Tekrema,I am Ese Ne Tekrema. We share the same space and we need each other. Closeness without care causes damage.,"friendship,interdependence,cooperation,care"
Mframadan,46,Guess?,Akan Symbols,What does this mean?,mean,"Mframadan means ""well-ventilated house."" A house built to breathe through any storm is a symbol of resilience — the readiness to face life's changes without being destroyed.",Mframadan,I am Mframadan. Build your life to breathe in hard weather. The storm is not the enemy. Unpreparedness is.,"resilience,readiness,fortitude,adaptability"
Mmere Dane,47,Guess?,Akan Symbols,What does this mean?,mean,"Mmere Dane means ""times change."" The symbol reminds us that even good times are temporary — and that change is the one constant we can count on.",Mmere Dane,I am Mmere Dane. Nothing stays. Not the hard season. Not the easy one. Hold lightly. Move with time.,"change,impermanence,adaptability,temporariness"
Mpuannum,48,Guess?,Akan Symbols,What does this mean?,mean,"Mpuannum means ""five tufts of hair."" It is a hairstyle worn in priestly contexts — a symbol of loyalty, priestly office, and sacred service.",Mpuannum,I am Mpuannum. I wear the mark of who I serve. Loyalty is not a word. It is what you choose to put on your body.,"loyalty,service,priesthood,devotion"
Kete Pa,49,Guess?,Akan Symbols,What does this mean?,mean,"Kete Pa means ""good bed."" It is the bed a woman is placed on in a good marriage — a symbol of care, successful partnership, and the tenderness a good union brings.",Kete Pa,I am Kete Pa. A good marriage is a soft place to land. It is built slowly and it holds everything.,"marriage,care,partnership,tenderness"
Woforo Dua Pa A,50,Guess?,Akan Symbols,What does this mean?,mean,"Woforo Dua Pa A means ""when you climb a good tree."" When you serve a worthy cause or person, support finds you. A symbol of encouragement, cooperation, and the rewards of loyalty.",Woforo Dua Pa A,I am Woforo Dua Pa A. Attach yourself to something good. The tree bears your weight. The fruit becomes yours too.,"support,cooperation,encouragement,loyalty"
Aban,51,Guess?,Akan Symbols,What does this mean?,mean,"Aban means ""fortress"" or ""castle."" It represents strength, authority, and magnificence — the power of a seat of governance.",Aban,I am Aban. I was not built in a day. Every stone is a decision. Authority is built slowly and must be maintained.,"strength,authority,power,magnificence"
Abe Dua,52,Guess?,Akan Symbols,What does this mean?,mean,"Abe Dua means ""palm tree."" Every part of the palm tree serves a purpose. It is a symbol of wealth, resourcefulness, and complete self-sufficiency.",Abe Dua,I am Abe Dua. Nothing about me is wasted. From root to frond, I provide. Know your own full value.,"wealth,resourcefulness,self-sufficiency,abundance"
Adwo,53,Guess?,Akan Symbols,What does this mean?,mean,"Adwo means ""calmness."" It is a symbol of peace, quiet, and the inner stillness that becomes possible when conflict has no hold on you.",Adwo,I am Adwo. I am not the absence of noise. I am the presence of peace. These are not the same.,"peace,tranquility,calm,stillness"
Agyin Dawuru,54,Guess?,Akan Symbols,What does this mean?,mean,"Agyin Dawuru is ""Agyin's gong."" It commemorates a supremely faithful servant of the Asante king. The gong calls people to attention — a symbol of faithfulness, alertness, and duty.",Agyin Dawuru,I am Agyin Dawuru. I ring to remind. Dutifulness is the kind of faithfulness most people notice only when it stops.,"faithfulness,alertness,duty,diligence"
Akoben,55,Guess?,Akan Symbols,What does this mean?,mean,"Akoben means ""war horn."" Its sound is a call to action. It represents readiness, voluntarism, and the willingness to answer when you are needed.",Akoben,I am Akoben. I do not draft you. I call you. The ones who come when they hear it — those are the ones who matter.,"readiness,action,courage,voluntarism"
Nea Onnim,56,Guess?,Akan Symbols,What does this mean?,mean,"Nea Onnim means ""he who does not know."" From the proverb: when he who does not know learns, he gets to know. It is the symbol of lifelong education and the pursuit of knowledge.",Nea Onnim,I am Nea Onnim. Not knowing is not failure. Refusing to learn is. The door is open. Walk through it.,"knowledge,learning,education,growth"
Abode Santann,57,Guess?,Akan Symbols,What does this mean?,mean,"Abode Santann means ""the totality of the universe."" God created the sun, moon, stars, water, wind, life, and death. This symbol holds all of it — natural and social creation together.",Abode Santann,I am Abode Santann. You are one thread in a thing larger than you can see. And still, you matter inside it.,"universe,creation,God,wholeness"
Abusua Pa,58,Guess?,Akan Symbols,What does this mean?,mean,"Abusua Pa means ""good family."" It is in a good family that love and unity are found. It represents the strength of kinship ties and the power of family support.",Abusua Pa,I am Abusua Pa. The family that holds together does not do it by accident. It takes work. It takes choosing each other again.,"family,kinship,unity,love"
Ani Bere A Enso Gya,59,Guess?,Akan Symbols,What does this mean?,mean,"Ani Bere A Enso Gya means ""no matter how red-eyed one becomes, his eyes do not spark flames."" A symbol of self-control, patience, and the power of restraint.",Ani Bere A Enso Gya,I am Ani Bere A Enso Gya. You can be furious and still not destroy. The eye can burn and the hand can hold still.,"self-control,patience,restraint,discipline"
Aponkyerene Wu A,60,Guess?,Akan Symbols,What does this mean?,mean,"Aponkyerene Wu A means ""when a frog dies."" We often do not see the true size of something until we have lost it. A symbol of significance and the danger of undervaluing.",Aponkyerene Wu A,I am Aponkyerene Wu A. You will measure my length when I am gone. Better to see me now while I am still here.,"value,significance,appreciation,loss"
Asaawa,61,Guess?,Akan Symbols,What does this mean?,mean,"Asaawa is the miracle berry or sweet berry. From the proverb: sweetness does not stay in the mouth forever. It is a symbol of pleasure and a reminder that sweetness passes.",Asaawa,I am Asaawa. Enjoy what is sweet. But do not be surprised when the taste fades. That is the nature of pleasure.,"pleasure,sweetness,impermanence,enjoyment"
Asetena Pa,62,Guess?,Akan Symbols,What does this mean?,mean,"Asetena Pa means ""good living."" The proverb says: good living is forgetfulness — it makes you forget where you came from. A symbol of comfort, wealth, and its hidden costs.",Asetena Pa,I am Asetena Pa. I am what comfort looks like. I am also what forgetfulness looks like. Do not let ease erase your roots.,"wealth,comfort,indulgence,humility"
Boafo Ye Na,63,Guess?,Akan Symbols,What does this mean?,mean,"Boafo Ye Na means ""helpers are rare."" Willing people who show up for others are uncommon. This symbol honors support, cooperation, and the extraordinary value of those who actually help.",Boafo Ye Na,I am Boafo Ye Na. Be the rare one. Show up. In a world of people who mean well, be the one who stays.,"support,teamwork,cooperation,rarity"
Dono Ntoaso,64,Guess?,Akan Symbols,What does this mean?,mean,"Dono Ntoaso means ""joined tension talking drum."" Two drums bound together make more sound than either alone. A symbol of united action, goodwill, and praise.",Dono Ntoaso,I am Dono Ntoaso. Two voices beat together. The sound is bigger than either of us alone. This is what unity sounds like.,"unity,teamwork,celebration,alertness"
Dono,65,Guess?,Akan Symbols,What does this mean?,mean,"Dono is the tension talking drum — an instrument that could carry messages across distances. It represents appellation, praise, and the rhythm that binds community together.",Dono,I am Dono. The drum speaks when words are not enough. Some things can only be felt through rhythm.,"praise,rhythm,communication,community"
Dwantire,66,Guess?,Akan Symbols,What does this mean?,mean,"Dwantire means ""ram's head."" The ram's head is always white — a symbol of innocence. The guiltless fears no accusation and has nothing to hide.",Dwantire,I am Dwantire. I wear white because my conscience carries no stain. The innocent do not flinch at the question.,"innocence,guiltlessness,integrity,conscience"
Esono Anantam,67,Guess?,Akan Symbols,What does this mean?,mean,"Esono Anantam means ""elephant's footprint."" When you follow the elephant, the dew on the bushes does not reach you. It is a symbol of the protection that powerful leadership provides.",Esono Anantam,I am Esono Anantam. Walk in the path I have made and the brush will not cut you. Good leaders protect even those behind them.,"leadership,protection,power,guidance"
Fafanto,68,Guess?,Akan Symbols,What does this mean?,mean,"Fafanto means ""butterfly."" The butterfly is beautiful, brief, and honest — it does not pretend to be more than it is. A symbol of tenderness, gentleness, and fragile honesty.",Fafanto,I am Fafanto. I am not built for combat. I am built for beauty. Tenderness is not weakness. It is a different kind of courage.,"tenderness,gentleness,beauty,fragility"
Gyawu Atiko,69,Guess?,Akan Symbols,What does this mean?,mean,"Gyawu Atiko refers to the back of Gyawu's head — the distinctive hairstyle of a war hero. It is a symbol of valor and bravery worn as identity.",Gyawu Atiko,I am Gyawu Atiko. I carry my courage on my body. Before you see my face, you see what I stand for.,"valor,bravery,identity,courage"
Kokuromotie,70,Guess?,Akan Symbols,What does this mean?,mean,"Kokuromotie means ""thumb."" Try to tie a knot without your thumbs. It cannot be done. The thumb represents the indispensable member — the one without whom the team cannot function.",Kokuromotie,I am Kokuromotie. I am small. I am everywhere in what you do. Do not discount the one who makes everything else work.,"indispensability,cooperation,teamwork,harmony"
Kramo Bone,71,Guess?,Akan Symbols,What does this mean?,mean,"Kramo Bone Amma Yeanhu Kramo Pa means ""the bad Muslim makes it hard to recognize the good one."" A warning symbol against hypocrisy and the damage a deceiver does to those around them.",Kramo Bone,I am Kramo Bone. One person's dishonesty casts suspicion on everyone. Guard your integrity — it protects more than just yourself.,"honesty,warning,hypocrisy,integrity"
Krapa,72,Guess?,Akan Symbols,What does this mean?,mean,"Krapa means ""good soul."" Also called Musuyidea — that which removes evil. It is a symbol of spiritual balance, good luck, and the uprightness of spirit.",Krapa,I am Krapa. A good soul is not an accident. It is tended. Feed the spirit the way you feed the body — with intention.,"spiritual balance,good luck,sanctity,soul"
Kuronti Ne Akwamu,73,Guess?,Akan Symbols,What does this mean?,mean,"Kuronti Ne Akwamu represents the two wings of Asante governance — council and action working together. It is a symbol of democracy, deliberation, and shared power.",Kuronti Ne Akwamu,I am Kuronti Ne Akwamu. No king governs alone. Power divided is power that lasts. Seek counsel before you move.,"democracy,governance,counsel,balance"
Kwatakye Atiko,74,Guess?,Akan Symbols,What does this mean?,mean,"Kwatakye Atiko is the hairstyle of Kwatakye, a legendary Asante war captain. It is worn as a symbol of valor and bravery — courage you carry as identity.",Kwatakye Atiko,I am Kwatakye Atiko. Some men wore their bravery in their hair. Your courage is visible. People can see what you are made of.,"valor,bravery,courage,identity"
Kyemfere,75,Guess?,Akan Symbols,What does this mean?,mean,"Kyemfere means ""potsherd."" The proverb asks: the potsherd claims age — but what about the potter who shaped it? It honors knowledge, experience, and the wisdom of age.",Kyemfere,I am Kyemfere. I have been here a long time. Do not mistake my age for obsolescence. I remember what others have forgotten.,"knowledge,experience,wisdom,heritage"
Mako,76,Guess?,Akan Symbols,What does this mean?,mean,"Mako means ""peppers."" Not all peppers on the same plant ripen at the same time. A symbol of inequality and the uneven pace of development among people.",Mako,I am Mako. We grew from the same soil. We are not ready at the same time. Do not measure your ripening against another's.,"inequality,pace,patience,individuality"
Mekyea Wo,77,Guess?,Akan Symbols,What does this mean?,mean,"Mekyea Wo means ""I greet you."" To greet is not just courtesy — it is the act of recognizing another human being as worthy of your attention. A symbol of respect and recognition.",Mekyea Wo,I am Mekyea Wo. Before anything else — I see you. The greeting is not small talk. It is a declaration of your worth.,"respect,recognition,greeting,humanity"
Menso Wo Kenten,78,Guess?,Akan Symbols,What does this mean?,mean,"Menso Wo Kenten means ""I am not carrying your basket."" A symbol of self-reliance, industry, and economic self-determination — the responsibility each person has for their own life.",Menso Wo Kenten,I am Menso Wo Kenten. I will walk beside you. I will not carry what is yours to carry. Self-determination is not cruelty. It is respect.,"self-reliance,independence,industry,responsibility"
Mmeramubere,79,Guess?,Akan Symbols,What does this mean?,mean,"Mmeramubere is the female cross — a symbol of warmth, sunshine, and feminine vitality. It is the energy that sustains life through nourishment and light.",Mmeramubere,I am Mmeramubere. I am the warmth that feeds things. The sun is not loud about what it does. It simply provides.,"warmth,vitality,femininity,light"
Mmeramutene,80,Guess?,Akan Symbols,What does this mean?,mean,"Mmeramutene is the male cross — a symbol of sunlight, endurance, and uprightness. Steady and vertical — the quality of someone who holds their position through difficulty.",Mmeramutene,I am Mmeramutene. I stand straight. Sun overhead, shadow underfoot. Uprightness is measured in what you do when it costs you.,"sunlight,endurance,uprightness,steadiness"
Nea Ope Se Obedi Hene,81,Guess?,Akan Symbols,What does this mean?,mean,"Nea Ope Se Obedi Hene means ""he who wants to be king."" From the proverb: first learn to serve. Leadership is not taken — it is earned through the apprenticeship of service.",Nea Ope Se Obedi Hene,I am Nea Ope Se Obedi Hene. You want to lead. Then learn to follow first. Every great authority passed through someone's door before they opened their own.,"leadership,service,humility,preparation"
Nea Oretwa Sa,82,Guess?,Akan Symbols,What does this mean?,mean,"Nea Oretwa Sa means ""the path maker."" The one clearing the path cannot see that it bends behind them. A symbol of the leader's blind spot and the necessity of trusted counsel.",Nea Oretwa Sa,I am Nea Oretwa Sa. You cannot see what you leave crooked behind you. That is why a leader needs people willing to say what they see.,"leadership,counsel,trailblazing,humility"
Nkotimsefo Mpua,83,Guess?,Akan Symbols,What does this mean?,mean,"Nkotimsefo Mpua is the hairstyle of the royal court attendants. These attendants were chosen for their loyalty and readiness to serve. It is a symbol of faithful service.",Nkotimsefo Mpua,I am Nkotimsefo Mpua. I was chosen because I could be trusted. Service that is truly faithful leaves a mark on how you carry yourself.,"loyalty,service,faithfulness,readiness"
Nkrabea,84,Guess?,Akan Symbols,What does this mean?,mean,"Nkrabea means ""destiny."" Everyone has their own. God's path for a person cannot be bypassed. A symbol of determinism, individual purpose, and the unequal distribution of gifts.",Nkrabea,I am Nkrabea. Your path is yours. It is not a comparison. It is not a competition. It was handed to you alone.,"destiny,purpose,individuality,determinism"
Nnamfo Pa Baanu,85,Guess?,Akan Symbols,What does this mean?,mean,"Nnamfo Pa Baanu means ""two good friends."" Two deer travel together so one can blow the dust from the other's eye. A symbol of true friendship and fellowship.",Nnamfo Pa Baanu,I am Nnamfo Pa Baanu. Real friendship is small and specific. It shows up to clear the dust from your eye when you cannot see clearly.,"friendship,fellowship,loyalty,care"
Nserewa,86,Guess?,Akan Symbols,What does this mean?,mean,"Nserewa means ""cowries."" Cowries were used as currency and in sacred ceremonies. They represent wealth, affluence, and the dual nature of value — material and sacred.",Nserewa,I am Nserewa. I was money before money knew itself. What holds value is what people agree to honor. And I have always been honored.,"wealth,sacred,value,affluence"
Nyame Nti,87,Guess?,Akan Symbols,What does this mean?,mean,"Nyame Nti means ""by God's grace."" Not by force, not by cleverness alone — by grace. A symbol of faith and trust in God's provision.",Nyame Nti,I am Nyame Nti. You did not build this alone. Something held you when you could not hold yourself. Name it. Honor it.,"faith,grace,God,trust"
Nyame Ye Ohene,88,Guess?,Akan Symbols,What does this mean?,mean,"Nyame Ye Ohene means ""God is King."" Above all rulers, all authorities, all powers — God's kingship is the one that does not end. A symbol of divine majesty and supremacy.",Nyame Ye Ohene,I am Nyame Ye Ohene. Every king has a king above him. That throne has never been vacant. Act accordingly.,"God,sovereignty,majesty,supremacy"
